Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Outward issue link (Blocks),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Execution date),Custom field (Execution date),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Status Category,Status Category Changed
Bug 16: Event Proposal Request Allows Past Date Submission,HOP-78,10078,Bug,Open,HOP,HopeApp,software,i222415 Kashaf Fatima,712020:73785a66-3e85-45e9-9058-67a85c1fb37e,,High,,,,i222415 Kashaf Fatima,712020:73785a66-3e85-45e9-9058-67a85c1fb37e,i222415 Kashaf Fatima,712020:73785a66-3e85-45e9-9058-67a85c1fb37e,16/Sep/24 8:22 PM,16/Sep/24 10:16 PM,16/Sep/24 11:26 PM,,,0,"*Summary:*

The app permits users to propose events in the past, which should not be allowed.

*Description:*

The app allows user to send a request of event proposal in past. It lets user know that request has sent when user press “Send“ by popup message “Event request sent successfully“

* *Steps to reproduce:*

# Open Nimbus app
# Login in the app
# Go to “Add event request“ module.
# Enter all the data required.
# Set date from past.
# Press “Send“ button.

*Affected component:*

* Event Proposal Request Form (Date Validation)

*Severity:  High*",,i222415 Kashaf Fatima,712020:73785a66-3e85-45e9-9058-67a85c1fb37e,,,,,,,,,,HOP-62,16/Sep/24 8:21 PM;712020:73785a66-3e85-45e9-9058-67a85c1fb37e;Screenshot 2024-09-16 160040.png;https://nimbus18work.atlassian.net/rest/api/3/attachment/content/10159,16/Sep/24 8:21 PM;712020:73785a66-3e85-45e9-9058-67a85c1fb37e;Screenshot 2024-09-16 160058.png;https://nimbus18work.atlassian.net/rest/api/3/attachment/content/10158,16/Sep/24 8:21 PM;712020:73785a66-3e85-45e9-9058-67a85c1fb37e;Screenshot 2024-09-16 160152.png;https://nimbus18work.atlassian.net/rest/api/3/attachment/content/10160,,,,,,,,,,,,,,,,,,,,,,0|i000g7:,,,HOP Sprint 1,,,,,,,,,,,,To Do,16/Sep/24 10:16 PM
Bug 15:  Empty Event Proposal Request Form Submission Allowed,HOP-77,10077,Bug,In Progress,HOP,HopeApp,software,i222415 Kashaf Fatima,712020:73785a66-3e85-45e9-9058-67a85c1fb37e,,High,,,,i222415 Kashaf Fatima,712020:73785a66-3e85-45e9-9058-67a85c1fb37e,i222415 Kashaf Fatima,712020:73785a66-3e85-45e9-9058-67a85c1fb37e,16/Sep/24 8:20 PM,16/Sep/24 8:20 PM,16/Sep/24 11:28 PM,,,0,"*Summary:*

The app permits users to send an empty event proposal request, which should be prevented.

*Description:*

The app allows user to send an empty request of event proposal. It lets user know that request has sent when user press “Send“ by popup message “Event request sent successfully“

* *Steps to reproduce:*

# Open Nimbus app
# Login in the app
# Go to “Add event request“ module.
# Press “Send“ button.

*Affected component:*

* Event Proposal Request Form (Validation Check for Empty Fields)

*Severity:  High*",,i222415 Kashaf Fatima,712020:73785a66-3e85-45e9-9058-67a85c1fb37e,,,,,,,,,,HOP-60,16/Sep/24 8:19 PM;712020:73785a66-3e85-45e9-9058-67a85c1fb37e;Screenshot 2024-09-16 155938.png;https://nimbus18work.atlassian.net/rest/api/3/attachment/content/10156,16/Sep/24 8:19 PM;712020:73785a66-3e85-45e9-9058-67a85c1fb37e;Screenshot 2024-09-16 160058.png;https://nimbus18work.atlassian.net/rest/api/3/attachment/content/10157,16/Sep/24 8:19 PM;712020:73785a66-3e85-45e9-9058-67a85c1fb37e;Screenshot 2024-09-16 160200.png;https://nimbus18work.atlassian.net/rest/api/3/attachment/content/10155,,,,,,,,,,,,,,,,,,,,,,0|i000fz:,,,HOP Sprint 1,,,,,,,,,,,,In Progress,16/Sep/24 8:20 PM
Bug 14: Empty Event Participation Request Form Submission Allowed,HOP-76,10076,Bug,In Progress,HOP,HopeApp,software,i222415 Kashaf Fatima,712020:73785a66-3e85-45e9-9058-67a85c1fb37e,,Medium,,,,i222415 Kashaf Fatima,712020:73785a66-3e85-45e9-9058-67a85c1fb37e,i222415 Kashaf Fatima,712020:73785a66-3e85-45e9-9058-67a85c1fb37e,16/Sep/24 8:14 PM,16/Sep/24 8:14 PM,16/Sep/24 11:28 PM,,,0,"*Summary:*

The app allows users to send an empty participation request for an event, which should be restricted.

*Description:*

The app allows user to send an empty request for event participation. It lets user know that request has sent when user press “Send“ by popup message “Participation request sent successfully!!”

* *Steps to reproduce:*

# Open Nimbus app
# Login in the app
# Go to “Event participation request“ module.
# Press “Send“ button.

*Affected component:*

* Event Participation Request Form (Validation Check for Empty Fields)

*Severity:  High*",,i222415 Kashaf Fatima,712020:73785a66-3e85-45e9-9058-67a85c1fb37e,,,,,,,,,,HOP-59,16/Sep/24 8:13 PM;712020:73785a66-3e85-45e9-9058-67a85c1fb37e;Screenshot 2024-09-16 155321.png;https://nimbus18work.atlassian.net/rest/api/3/attachment/content/10154,,,,,,,,,,,,,,,,,,,,,,,,0|i000fr:,,,HOP Sprint 1,,,,,,,,,,,,In Progress,16/Sep/24 8:14 PM
Bug 13: Invalid Email Format Accepted During Add Member Operation,HOP-75,10075,Bug,In Progress,HOP,HopeApp,software,i222415 Kashaf Fatima,712020:73785a66-3e85-45e9-9058-67a85c1fb37e,,High,,,,i222415 Kashaf Fatima,712020:73785a66-3e85-45e9-9058-67a85c1fb37e,i222415 Kashaf Fatima,712020:73785a66-3e85-45e9-9058-67a85c1fb37e,16/Sep/24 8:11 PM,16/Sep/24 8:12 PM,16/Sep/24 11:28 PM,,,0,"*Summary:*

The app allows users to add a new member with an incorrectly formatted email, which should be restricted.

*Description:*

When user tries to create a new member and  member’s email that user entered  does not follow the criteria, the app allows it, and data is updated on database. 

* *Steps to reproduce:*

# Open Nimbus app.
# Press “Sign up” button to go to sign up page.
# Select “Member's  Directory“.
# Select “Plus” button in the member’s directory you want to to add member.
# Enter an invalid email format.
# Enter required fields
# Press “Update“ button.

*Affected component:*

* Member’s Directory Module (Email Validation for Adding Member)

*Severity:  High*",,i222415 Kashaf Fatima,712020:73785a66-3e85-45e9-9058-67a85c1fb37e,,,,,,,,,,HOP-45,16/Sep/24 8:09 PM;712020:73785a66-3e85-45e9-9058-67a85c1fb37e;Screenshot 2024-09-16 114107.png;https://nimbus18work.atlassian.net/rest/api/3/attachment/content/10153,16/Sep/24 8:09 PM;712020:73785a66-3e85-45e9-9058-67a85c1fb37e;Screenshot 2024-09-16 114141.png;https://nimbus18work.atlassian.net/rest/api/3/attachment/content/10152,,,,,,,,,,,,,,,,,,,,,,,0|i000fj:,,,HOP Sprint 1,,,,,,,,,,,,In Progress,16/Sep/24 8:11 PM
Bug 12: Empty Member Data Allowed During Add Member Operation,HOP-74,10074,Bug,In Progress,HOP,HopeApp,software,i222415 Kashaf Fatima,712020:73785a66-3e85-45e9-9058-67a85c1fb37e,,High,,,,i222415 Kashaf Fatima,712020:73785a66-3e85-45e9-9058-67a85c1fb37e,i222415 Kashaf Fatima,712020:73785a66-3e85-45e9-9058-67a85c1fb37e,16/Sep/24 8:05 PM,16/Sep/24 8:05 PM,16/Sep/24 11:28 PM,,,0,"*Summary:*

The app allows users to add a member even if required fields are empty, which should be restricted.

*Description:*

When user tries to update member's data that has nothing in its text fields, the app  allows him to do so. And data is added in database. It updates user by popup message “Successfully added member!“.

* *Steps to reproduce:*

# Open Nimbus app
# Sign up in app.
# Go to “Member’s directory” module.
# Select “Plus” button to add member.
# Leave all text fields empty and try to update the form.
# Press “Add“ button.

*Affected component:*

* Member’s Directory Module (Form Validation for Adding Member)

*Severity:  High*",,i222415 Kashaf Fatima,712020:73785a66-3e85-45e9-9058-67a85c1fb37e,,,,,,,,,,HOP-44,16/Sep/24 8:03 PM;712020:73785a66-3e85-45e9-9058-67a85c1fb37e;Screenshot 2024-09-16 113938.png;https://nimbus18work.atlassian.net/rest/api/3/attachment/content/10151,16/Sep/24 8:03 PM;712020:73785a66-3e85-45e9-9058-67a85c1fb37e;Screenshot 2024-09-16 113949.png;https://nimbus18work.atlassian.net/rest/api/3/attachment/content/10149,16/Sep/24 8:03 PM;712020:73785a66-3e85-45e9-9058-67a85c1fb37e;Screenshot 2024-09-16 113958.png;https://nimbus18work.atlassian.net/rest/api/3/attachment/content/10150,,,,,,,,,,,,,,,,,,,,,,0|i000fb:,,,HOP Sprint 1,,,,,,,,,,,,In Progress,16/Sep/24 8:05 PM
Bug 11: Invalid Email Format Allowed During Member Data Update,HOP-73,10073,Bug,In Progress,HOP,HopeApp,software,i222415 Kashaf Fatima,712020:73785a66-3e85-45e9-9058-67a85c1fb37e,,High,,,,i222415 Kashaf Fatima,712020:73785a66-3e85-45e9-9058-67a85c1fb37e,i222415 Kashaf Fatima,712020:73785a66-3e85-45e9-9058-67a85c1fb37e,16/Sep/24 8:01 PM,16/Sep/24 8:23 PM,16/Sep/24 11:28 PM,,,0,"*Summary:*

The app allows users to update member data using an email that does not have the required format, which should be restricted.

*Description:*

When user tries to update member’s email that does not follow the criteria, the app allows it, and data is updated on database. 

* *Steps to reproduce:*

# Open Nimbus app.
# Press “Sign up” button to go to sign up page.
# Select “Member's  Directory“.
# Select “Edit” button on the member’s data you want to update.
# Enter an invalid email format.
# Enter required fields
# Press “Update“ button.

*Affected component:*

* Member’s Directory Module (Email Validation)

*Severity:  High*",,i222415 Kashaf Fatima,712020:73785a66-3e85-45e9-9058-67a85c1fb37e,,,,,,,,,,HOP-39,16/Sep/24 7:59 PM;712020:73785a66-3e85-45e9-9058-67a85c1fb37e;Screenshot 2024-09-16 102901.png;https://nimbus18work.atlassian.net/rest/api/3/attachment/content/10146,16/Sep/24 8:00 PM;712020:73785a66-3e85-45e9-9058-67a85c1fb37e;Screenshot 2024-09-16 102947.png;https://nimbus18work.atlassian.net/rest/api/3/attachment/content/10147,16/Sep/24 7:59 PM;712020:73785a66-3e85-45e9-9058-67a85c1fb37e;Screenshot 2024-09-16 103022.png;https://nimbus18work.atlassian.net/rest/api/3/attachment/content/10148,,,,,,,,,,,,,,,,,,,,,,0|i000f3:,,,HOP Sprint 1,,,,,,,,,,,,In Progress,16/Sep/24 8:23 PM
Bug 10: Updating Member Data with Empty Fields,HOP-72,10072,Bug,In Progress,HOP,HopeApp,software,i222415 Kashaf Fatima,712020:73785a66-3e85-45e9-9058-67a85c1fb37e,,High,,,,i222415 Kashaf Fatima,712020:73785a66-3e85-45e9-9058-67a85c1fb37e,i222415 Kashaf Fatima,712020:73785a66-3e85-45e9-9058-67a85c1fb37e,16/Sep/24 7:57 PM,16/Sep/24 7:57 PM,16/Sep/24 11:28 PM,,,0,"*Summary:*

The app allows users to update member data with empty fields, which should be restricted.

The app allows user to update data without entering any data in required text fields, it should be restricted.

*Description:*

When user tries to update member's data that has nothing in its text fields, the app allows him to do so. And data is updated in database

* *Steps to reproduce:*

# Open Nimbus app
# Sign up in app.
# Go to “Member’s directory” module.
# Select “Edit” button on a member data.
# Leave all text fields empty and try to update the form.
# Press “Update“ button.

*Affected component:*

* Member’s Directory Module

*Severity:  High*",,i222415 Kashaf Fatima,712020:73785a66-3e85-45e9-9058-67a85c1fb37e,,,,,,,,,,HOP-38,16/Sep/24 7:55 PM;712020:73785a66-3e85-45e9-9058-67a85c1fb37e;Screenshot 2024-09-16 104340.png;https://nimbus18work.atlassian.net/rest/api/3/attachment/content/10144,16/Sep/24 7:55 PM;712020:73785a66-3e85-45e9-9058-67a85c1fb37e;Screenshot 2024-09-16 104354.png;https://nimbus18work.atlassian.net/rest/api/3/attachment/content/10145,,,,,,,,,,,,,,,,,,,,,,,0|i000ev:,,,HOP Sprint 1,,,,,,,,,,,,In Progress,16/Sep/24 7:57 PM
Bug 9: Adding Meeting Schedule in the Past,HOP-71,10071,Bug,In Progress,HOP,HopeApp,software,i222415 Kashaf Fatima,712020:73785a66-3e85-45e9-9058-67a85c1fb37e,,Medium,,,,i222415 Kashaf Fatima,712020:73785a66-3e85-45e9-9058-67a85c1fb37e,i222415 Kashaf Fatima,712020:73785a66-3e85-45e9-9058-67a85c1fb37e,16/Sep/24 7:53 PM,16/Sep/24 7:54 PM,16/Sep/24 11:28 PM,,,0,"*Summary:*

The app allows user to set meetings schedule in past date, which is not technically correct.

*Description:*

When user tries to add schedule for meeting in past, the app allows him to do so. App updates the user with popup message “Meeting added successfully in schedule“ when user selects “Done“ button and is added in database.

* *Steps to reproduce:*

# Open Nimbus app
# Sign up in app.
# Go to “Meeting schedule board” module.
# Navigate to date in past and select “Plus“ button to add meeting. 
# A pop up form appears, enter required data in text fields.
# Press “Done“ button.

*Affected component:*

* Meeting Schedule Board Module

*Severity:  High*",,i222415 Kashaf Fatima,712020:73785a66-3e85-45e9-9058-67a85c1fb37e,,,,,,,,,,HOP-35,16/Sep/24 7:51 PM;712020:73785a66-3e85-45e9-9058-67a85c1fb37e;Screenshot 2024-09-16 031923.png;https://nimbus18work.atlassian.net/rest/api/3/attachment/content/10142,16/Sep/24 7:51 PM;712020:73785a66-3e85-45e9-9058-67a85c1fb37e;Screenshot 2024-09-16 032000.png;https://nimbus18work.atlassian.net/rest/api/3/attachment/content/10143,,,,,,,,,,,,,,,,,,,,,,,0|i000en:,,,HOP Sprint 1,,,,,,,,,,,,In Progress,16/Sep/24 7:53 PM
Bug 8: Event Update with Empty Fields Allowed,HOP-70,10070,Bug,In Progress,HOP,HopeApp,software,i222415 Kashaf Fatima,712020:73785a66-3e85-45e9-9058-67a85c1fb37e,,High,,,,i222415 Kashaf Fatima,712020:73785a66-3e85-45e9-9058-67a85c1fb37e,i222415 Kashaf Fatima,712020:73785a66-3e85-45e9-9058-67a85c1fb37e,16/Sep/24 7:47 PM,16/Sep/24 7:48 PM,16/Sep/24 11:28 PM,,,0,"*Summary:*

The app let user to edit text field and update it even though some required text fields are empty.

*Description:*

When user tries to update an event that has empty text fields, the app allows him to do so. When user press “Update” button event is added to database and a popup message informs user  “Successfully updated event!“.

* *Steps to reproduce:*

# Open Nimbus app
# Sign up in app.
# Go to “View event” module.
# Press “Edit” button on one of the event.
# Enter data in few fields and leave few empty.
# Press “Update“ button.

*Affected component:*

* Event Update Module

*Severity:  High*",,i222415 Kashaf Fatima,712020:73785a66-3e85-45e9-9058-67a85c1fb37e,,,,,,,,,,HOP-30,16/Sep/24 7:47 PM;712020:73785a66-3e85-45e9-9058-67a85c1fb37e;Screenshot 2024-09-16 013538.png;https://nimbus18work.atlassian.net/rest/api/3/attachment/content/10140,16/Sep/24 7:47 PM;712020:73785a66-3e85-45e9-9058-67a85c1fb37e;Screenshot 2024-09-16 013749.png;https://nimbus18work.atlassian.net/rest/api/3/attachment/content/10141,16/Sep/24 7:46 PM;712020:73785a66-3e85-45e9-9058-67a85c1fb37e;Screenshot 2024-09-16 013837.png;https://nimbus18work.atlassian.net/rest/api/3/attachment/content/10139,,,,,,,,,,,,,,,,,,,,,,0|i000ef:,,,HOP Sprint 1,,,,,,,,,,,,In Progress,16/Sep/24 7:47 PM
"Bug 7: Numeric Data Allowed in ""Event Name"" Field",HOP-69,10069,Bug,Open,HOP,HopeApp,software,i222415 Kashaf Fatima,712020:73785a66-3e85-45e9-9058-67a85c1fb37e,,Medium,,,,i222415 Kashaf Fatima,712020:73785a66-3e85-45e9-9058-67a85c1fb37e,i222415 Kashaf Fatima,712020:73785a66-3e85-45e9-9058-67a85c1fb37e,16/Sep/24 7:40 PM,16/Sep/24 10:42 PM,16/Sep/24 10:42 PM,,,0,"*Summary:*

The text field ""Event Name"" in ""Add Event"" module allows user to enter numeric data in it, which should be prohibited.

*Description:*

When user tries to enter numeric data in “Event name“ in Add event module, App allows user to do so and event is then saved in data base as shown in pictures.

* *Steps to reproduce:*

# Open Nimbus app
# Sign up in app.
# Go to “Add event” module.
# Add numeric data in “Event name“ text field.
# Enter valid data in all text fields that is required.
# Press “Add“ button.

*Affected component:*

* Event Creation Module (""Event Name"" Text Field)

*Severity:  Medium*",,i222415 Kashaf Fatima,712020:73785a66-3e85-45e9-9058-67a85c1fb37e,,,,,,,,,,HOP-27,16/Sep/24 7:41 PM;712020:73785a66-3e85-45e9-9058-67a85c1fb37e;Screenshot 2024-09-16 002350.png;https://nimbus18work.atlassian.net/rest/api/3/attachment/content/10137,16/Sep/24 7:41 PM;712020:73785a66-3e85-45e9-9058-67a85c1fb37e;Screenshot 2024-09-16 002414.png;https://nimbus18work.atlassian.net/rest/api/3/attachment/content/10136,16/Sep/24 7:41 PM;712020:73785a66-3e85-45e9-9058-67a85c1fb37e;Screenshot 2024-09-16 004056.png;https://nimbus18work.atlassian.net/rest/api/3/attachment/content/10138,,,,,,,,,,,,,,,,,,,,,,0|i000e7:,,,HOP Sprint 1,,,,,,,,,,,,To Do,16/Sep/24 10:42 PM
